client_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Customer_Segment,Cluster,Cluster_Name
60,1,9902,652776.4,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
61,1,11495,825831.37,1,4,5,145,At-Risk / High Spenders At Risk,2,Cluster 2
62,1,12656,466239.12,1,4,3,143,At-Risk / High Spenders At Risk,2,Cluster 2
63,1,14967,375254.31,1,5,2,152,At-Risk / High Spenders At Risk,2,Cluster 2
64,1,8869,589716.88,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
65,1,8455,368217.3,1,3,2,132,At-Risk / High Spenders At Risk,0,Cluster 0
68,1,11848,705157.45,1,4,5,145,At-Risk / High Spenders At Risk,2,Cluster 2
69,1,7890,307275.11,1,2,2,122,Lost Customers,0,Cluster 0
73,1,6508,555198.27,1,2,4,124,Lost Customers,0,Cluster 0
74,1,4390,244211.21,1,1,1,111,Lost Customers,0,Cluster 0
75,1,10101,453944.22,1,3,3,133,At-Risk / High Spenders At Risk,2,Cluster 2
77,1,13402,1043711.14,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
78,1127,8042,227017.65,1,2,1,121,Lost Customers,1,Cluster 1
79,1,6276,350206.12,1,2,2,122,Lost Customers,0,Cluster 0
80,1,7126,280872.11,1,2,1,121,Lost Customers,0,Cluster 0
81,1,14164,649048.49,1,5,4,154,At-Risk / High Spenders At Risk,2,Cluster 2
84,1,13809,429738.03,1,5,3,153,At-Risk / High Spenders At Risk,2,Cluster 2
86,1,4057,144563.25,1,1,1,111,Lost Customers,0,Cluster 0
87,1,11508,410394.01,1,4,3,143,At-Risk / High Spenders At Risk,2,Cluster 2
89,1,12540,444926.54,1,4,3,143,At-Risk / High Spenders At Risk,2,Cluster 2
90,1,8840,587507.57,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
92,1,11553,386327.24,1,4,3,143,At-Risk / High Spenders At Risk,2,Cluster 2
94,1,12575,532356.08,1,4,4,144,At-Risk / High Spenders At Risk,2,Cluster 2
98,1,19674,814609.62,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
100,1,6448,476657.36,1,2,3,123,Lost Customers,0,Cluster 0
103,2,4485,286131.48,1,1,2,112,Lost Customers,0,Cluster 0
104,1,7154,419499.23,1,2,3,123,Lost Customers,0,Cluster 0
106,1,12813,327288.86,1,4,2,142,At-Risk / High Spenders At Risk,2,Cluster 2
107,1,3687,203419.19,1,1,1,111,Lost Customers,0,Cluster 0
110,1,5705,443202.13,1,1,3,113,Lost Customers,0,Cluster 0
112,1,28244,1022460.42,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
113,2,5494,506921.97,1,1,4,114,Lost Customers,0,Cluster 0
115,1,8404,735990.37,1,3,5,135,At-Risk / High Spenders At Risk,2,Cluster 2
116,1,7954,432098.71,1,2,3,123,Lost Customers,0,Cluster 0
118,1,5868,344720.06,1,1,2,112,Lost Customers,0,Cluster 0
119,4,6913,442676.25,1,2,3,123,Lost Customers,0,Cluster 0
120,1,4670,429224.05,1,1,3,113,Lost Customers,0,Cluster 0
121,1,9826,564056.82,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
122,1,10074,447945.15,1,3,3,133,At-Risk / High Spenders At Risk,2,Cluster 2
123,1,11303,340989.91,1,4,2,142,At-Risk / High Spenders At Risk,2,Cluster 2
124,1,8511,250657.87,1,3,1,131,At-Risk / High Spenders At Risk,0,Cluster 0
125,1,5976,197863.79,1,1,1,111,Lost Customers,0,Cluster 0
126,1,10792,259741.72,1,4,1,141,At-Risk / High Spenders At Risk,0,Cluster 0
127,1,10193,809202.53,1,3,5,135,At-Risk / High Spenders At Risk,2,Cluster 2
128,1,7634,365448.98,1,2,2,122,Lost Customers,0,Cluster 0
132,1,3693,183304.28,1,1,1,111,Lost Customers,0,Cluster 0
133,1,8265,514837.24,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
134,1,6141,390064.3,1,1,3,113,Lost Customers,0,Cluster 0
135,1,14864,800837.27,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
137,1,17889,974985.13,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
138,1,8221,363387.5,1,3,2,132,At-Risk / High Spenders At Risk,0,Cluster 0
140,1,10309,340035.67,1,4,2,142,At-Risk / High Spenders At Risk,0,Cluster 0
141,1,9807,442612.49,1,3,3,133,At-Risk / High Spenders At Risk,2,Cluster 2
142,1,12363,824115.54,1,4,5,145,At-Risk / High Spenders At Risk,2,Cluster 2
144,1,13485,506758.36,1,5,4,154,At-Risk / High Spenders At Risk,2,Cluster 2
145,1,6077,187767.35,1,1,1,111,Lost Customers,0,Cluster 0
146,1,6977,497001.67,1,2,4,124,Lost Customers,0,Cluster 0
147,1,6341,417018.9,1,2,3,123,Lost Customers,0,Cluster 0
148,1,10824,419429.97,1,4,3,143,At-Risk / High Spenders At Risk,2,Cluster 2
149,1,3768,307250.85,1,1,2,112,Lost Customers,0,Cluster 0
150,1,10968,724722.69,1,4,5,145,At-Risk / High Spenders At Risk,2,Cluster 2
152,1,8667,860689.69,1,3,5,135,At-Risk / High Spenders At Risk,2,Cluster 2
153,1,4061,286190.42,1,1,2,112,Lost Customers,0,Cluster 0
154,1,15101,889307.05,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
155,1,7810,233730.32,1,2,1,121,Lost Customers,0,Cluster 0
156,1,13112,341345.18,1,4,2,142,At-Risk / High Spenders At Risk,2,Cluster 2
157,1,10853,514336.81,1,4,4,144,At-Risk / High Spenders At Risk,2,Cluster 2
160,1,5207,210538.06,1,1,1,111,Lost Customers,0,Cluster 0
161,1,13890,442756.16,1,5,3,153,At-Risk / High Spenders At Risk,2,Cluster 2
162,1,7394,561634.26,1,2,4,124,Lost Customers,2,Cluster 2
164,1,7710,342117.03,1,2,2,122,Lost Customers,0,Cluster 0
169,1,7635,111839.07,1,2,1,121,Lost Customers,0,Cluster 0
170,1,7552,414297.46,1,2,3,123,Lost Customers,0,Cluster 0
171,1,14033,1127153.12,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
172,1,5060,254442.92,1,1,1,111,Lost Customers,0,Cluster 0
173,1,9517,574493.53,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
176,1,14033,648902.57,1,5,4,154,At-Risk / High Spenders At Risk,2,Cluster 2
177,1,8895,818414.93,1,3,5,135,At-Risk / High Spenders At Risk,2,Cluster 2
178,1,9501,432525.61,1,3,3,133,At-Risk / High Spenders At Risk,2,Cluster 2
180,1,6160,240339.54,1,1,1,111,Lost Customers,0,Cluster 0
184,1,5876,326786.62,1,1,2,112,Lost Customers,0,Cluster 0
185,1,11528,374099.57,1,4,2,142,At-Risk / High Spenders At Risk,2,Cluster 2
190,1,18610,1098281.59,1,5,5,155,At-Risk / High Spenders At Risk,2,Cluster 2
194,1,10828,619406.2,1,4,4,144,At-Risk / High Spenders At Risk,2,Cluster 2
196,2,5250,294458.72,1,1,2,112,Lost Customers,0,Cluster 0
197,1,12049,533346.94,1,4,4,144,At-Risk / High Spenders At Risk,2,Cluster 2
198,1,4703,344235.74,1,1,2,112,Lost Customers,0,Cluster 0
199,1,9520,497462.81,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
200,1,9716,402759.46,1,3,3,133,At-Risk / High Spenders At Risk,2,Cluster 2
201,1,3630,200084.95,1,1,1,111,Lost Customers,0,Cluster 0
203,1,5401,338106.43,1,1,2,112,Lost Customers,0,Cluster 0
205,1,8447,395346.78,1,3,3,133,At-Risk / High Spenders At Risk,0,Cluster 0
206,1,5035,332901.85,1,1,2,112,Lost Customers,0,Cluster 0
207,1,4560,252281.28,1,1,1,111,Lost Customers,0,Cluster 0
209,1,12355,388759.72,1,4,3,143,At-Risk / High Spenders At Risk,2,Cluster 2
211,1,12309,243503.04,1,4,1,141,At-Risk / High Spenders At Risk,0,Cluster 0
212,1,7385,217257.75,1,2,1,121,Lost Customers,0,Cluster 0
213,1,10058,688174.12,1,3,5,135,At-Risk / High Spenders At Risk,2,Cluster 2
216,4,4848,292212.49,1,1,2,112,Lost Customers,0,Cluster 0
217,1,10459,420605.79,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
218,1,8298,323519.98,2,3,2,232,At-Risk / High Spenders At Risk,0,Cluster 0
219,1,4974,182339.88,2,1,1,211,Lost Customers,0,Cluster 0
220,1,4491,401070.39,2,1,3,213,Lost Customers,0,Cluster 0
222,1,4899,666847.39,2,1,4,214,Lost Customers,0,Cluster 0
225,1,7489,475271.94,2,2,3,223,Lost Customers,0,Cluster 0
227,1,9211,709922.35,2,3,5,235,At-Risk / High Spenders At Risk,2,Cluster 2
229,1,10634,513714.44,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
230,1,6198,306001.56,2,2,2,222,Lost Customers,0,Cluster 0
231,1,9666,416104.63,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
233,1,5801,460522.58,2,1,3,213,Lost Customers,0,Cluster 0
234,1,8400,492411.37,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
235,1,8327,453607.69,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
236,1,7314,697412.44,2,2,5,225,Lost Customers,2,Cluster 2
237,2,5197,362074.57,1,1,2,112,Lost Customers,0,Cluster 0
240,1,7749,272775.12,2,2,1,221,Lost Customers,0,Cluster 0
241,1,11288,467281.12,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
242,1,8155,472888.75,2,2,3,223,Lost Customers,2,Cluster 2
244,1,4751,268341.34,2,1,1,211,Lost Customers,0,Cluster 0
246,1,6040,690698.75,2,1,5,215,Lost Customers,2,Cluster 2
247,1,14467,1110029.62,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
248,1,5666,252191.29,2,1,1,211,Lost Customers,0,Cluster 0
249,1,7536,306428.53,2,2,2,222,Lost Customers,0,Cluster 0
250,1,11818,497085.55,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
252,1,14935,596810.96,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
254,1,17611,1068188.36,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
256,1,11550,480904.83,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
257,1,7935,484389.15,2,2,3,223,Lost Customers,2,Cluster 2
260,1,4299,186724.36,2,1,1,211,Lost Customers,0,Cluster 0
261,1,11187,718871.21,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
264,1,8730,424871.98,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
265,2,8164,358080.63,1,2,2,122,Lost Customers,0,Cluster 0
267,1,3862,175584.25,2,1,1,211,Lost Customers,0,Cluster 0
273,1,8938,522591.86,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
274,1,7263,465830.54,2,2,3,223,Lost Customers,0,Cluster 0
275,1,20049,1056232.94,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
277,1,10669,323243.72,2,4,2,242,At-Risk / High Spenders At Risk,0,Cluster 0
278,1,13812,1094399.57,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
280,1,9066,622356.02,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
282,1,7736,241661.57,2,2,1,221,Lost Customers,0,Cluster 0
286,1,6323,247902.89,2,2,1,221,Lost Customers,0,Cluster 0
287,1,9341,318956.88,2,3,2,232,At-Risk / High Spenders At Risk,0,Cluster 0
291,1,16031,637211.75,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
293,2,8897,362028.12,1,3,2,132,At-Risk / High Spenders At Risk,0,Cluster 0
299,2,3443,212775.31,1,1,1,111,Lost Customers,0,Cluster 0
300,1,6348,444592.6,2,2,3,223,Lost Customers,0,Cluster 0
301,1,11155,395600.42,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
305,1,9704,248918.16,2,3,1,231,At-Risk / High Spenders At Risk,0,Cluster 0
311,1,5228,227622.35,2,1,1,211,Lost Customers,0,Cluster 0
313,1,7182,278672.76,2,2,1,221,Lost Customers,0,Cluster 0
315,2,3670,213720.01,1,1,1,111,Lost Customers,0,Cluster 0
316,1,8995,712244.68,2,3,5,235,At-Risk / High Spenders At Risk,2,Cluster 2
317,824,2983,204264.74,1,1,1,111,Lost Customers,1,Cluster 1
319,1,7483,535625.72,2,2,4,224,Lost Customers,2,Cluster 2
320,1,4448,365465.33,2,1,2,212,Lost Customers,0,Cluster 0
321,2,7872,300269.23,1,2,2,122,Lost Customers,0,Cluster 0
322,1,5957,142854.7,2,1,1,211,Lost Customers,0,Cluster 0
323,1,13846,596379.36,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
327,1,19674,904948.24,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
328,1,8040,589543.14,2,2,4,224,Lost Customers,2,Cluster 2
329,1,15540,651524.16,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
331,1,4903,282916.87,2,1,1,211,Lost Customers,0,Cluster 0
332,1,10537,431315.96,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
334,1,3976,258162.61,2,1,1,211,Lost Customers,0,Cluster 0
335,1,9632,689043.0,2,3,5,235,At-Risk / High Spenders At Risk,2,Cluster 2
338,1,8672,545066.65,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
343,1,8699,308987.37,2,3,2,232,At-Risk / High Spenders At Risk,0,Cluster 0
345,1,5183,279098.09,2,1,1,211,Lost Customers,0,Cluster 0
346,1,8166,502242.35,2,2,4,224,Lost Customers,2,Cluster 2
348,1,4590,306780.24,2,1,2,212,Lost Customers,0,Cluster 0
349,1,10948,280562.0,2,4,1,241,At-Risk / High Spenders At Risk,0,Cluster 0
350,1,11278,686974.8,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
351,1,8595,314913.76,2,3,2,232,At-Risk / High Spenders At Risk,0,Cluster 0
354,1,9578,483501.03,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
356,1,17760,752956.56,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
357,1,10036,519776.57,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
359,1,10151,469857.15,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
360,1,14793,449603.15,2,5,3,253,At-Risk / High Spenders At Risk,2,Cluster 2
361,1,6019,359961.63,2,1,2,212,Lost Customers,0,Cluster 0
362,1,10760,817287.63,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
363,1,9517,518105.09,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
364,1,11829,689328.3,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
366,1,14700,530127.89,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
368,1,14956,610546.96,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
369,1,12482,951640.06,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
370,1,8026,287686.98,2,2,2,222,Lost Customers,0,Cluster 0
373,1,16705,672967.05,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
374,1,7275,311891.79,2,2,2,222,Lost Customers,0,Cluster 0
375,32,8369,287656.6,1,3,2,132,At-Risk / High Spenders At Risk,0,Cluster 0
376,1,20538,917046.15,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
377,1,12386,756038.3,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
379,1,22606,608362.99,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
380,1,9931,346284.1,2,3,2,232,At-Risk / High Spenders At Risk,0,Cluster 0
383,1,6161,263701.74,2,2,1,221,Lost Customers,0,Cluster 0
385,1,8186,337562.34,2,2,2,222,Lost Customers,0,Cluster 0
386,1,15651,748739.35,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
387,1554,5388,95093.36,1,1,1,111,Lost Customers,1,Cluster 1
391,2,4708,288984.65,1,1,2,112,Lost Customers,0,Cluster 0
393,1,5438,264949.69,2,1,1,211,Lost Customers,0,Cluster 0
394,1,19643,726271.61,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
395,1,6747,436220.42,2,2,3,223,Lost Customers,0,Cluster 0
397,1,8481,227316.93,2,3,1,231,At-Risk / High Spenders At Risk,0,Cluster 0
398,3,5454,360113.69,1,1,2,112,Lost Customers,0,Cluster 0
400,611,4807,186957.98,1,1,1,111,Lost Customers,1,Cluster 1
401,1,13898,427055.73,2,5,3,253,At-Risk / High Spenders At Risk,2,Cluster 2
402,1,11810,605315.24,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
403,1,3799,257192.19,2,1,1,211,Lost Customers,0,Cluster 0
408,1,18438,1122028.11,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
410,1858,2126,109357.59,1,1,1,111,Lost Customers,1,Cluster 1
414,1,7901,908825.86,2,2,5,225,Lost Customers,2,Cluster 2
415,1,6976,273833.14,2,2,1,221,Lost Customers,0,Cluster 0
416,1,8598,274530.96,2,3,1,231,At-Risk / High Spenders At Risk,0,Cluster 0
419,1,11578,410341.65,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
421,1,18275,618329.45,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
425,1,17145,1043758.0,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
427,1,6543,301314.11,2,2,2,222,Lost Customers,0,Cluster 0
428,1,9724,576505.19,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
430,1,20676,1148856.34,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
432,1,8322,517558.61,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
433,1,10894,437929.17,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
434,1,8109,485989.88,2,2,3,223,Lost Customers,2,Cluster 2
437,1,8998,574593.76,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
438,1,4088,236904.31,2,1,1,211,Lost Customers,0,Cluster 0
441,1,8134,381607.46,2,2,3,223,Lost Customers,0,Cluster 0
442,1,13380,736804.0,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
447,1,7020,283829.45,2,2,2,222,Lost Customers,0,Cluster 0
449,1,8190,399499.46,2,3,3,233,At-Risk / High Spenders At Risk,0,Cluster 0
450,1,7460,468915.97,2,2,3,223,Lost Customers,0,Cluster 0
451,1,6641,322857.09,2,2,2,222,Lost Customers,0,Cluster 0
452,1,15061,825666.15,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
455,1,6682,461696.12,2,2,3,223,Lost Customers,0,Cluster 0
456,1,13583,589492.58,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
457,1,8220,706577.59,2,3,5,235,At-Risk / High Spenders At Risk,2,Cluster 2
458,1,3680,398479.63,2,1,3,213,Lost Customers,0,Cluster 0
459,1,7480,346728.28,2,2,2,222,Lost Customers,0,Cluster 0
460,1,11729,688783.6,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
461,1,20361,842919.45,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
462,1,10007,615825.36,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
465,1,5999,263161.47,2,1,1,211,Lost Customers,0,Cluster 0
467,1,10887,462104.33,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
468,2,7418,382373.87,1,2,3,123,Lost Customers,0,Cluster 0
469,2,9915,532346.87,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
470,1,9636,471464.09,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
472,1,16265,864375.72,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
473,1,6039,173381.15,2,1,1,211,Lost Customers,0,Cluster 0
474,1,17129,961200.88,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
476,1,14708,903208.9,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
477,2,9274,560606.06,1,3,4,134,At-Risk / High Spenders At Risk,2,Cluster 2
478,1,8108,478082.11,2,2,3,223,Lost Customers,2,Cluster 2
479,1,9819,470740.52,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
480,2,10191,706991.33,1,3,5,135,At-Risk / High Spenders At Risk,2,Cluster 2
483,4,5530,283118.53,1,1,1,111,Lost Customers,0,Cluster 0
487,1,11144,813181.24,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
489,1,5428,310783.27,2,1,2,212,Lost Customers,0,Cluster 0
491,2,3462,191565.19,1,1,1,111,Lost Customers,0,Cluster 0
494,1,8794,415036.94,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
496,3,5317,280655.55,1,1,1,111,Lost Customers,0,Cluster 0
497,1,10297,589802.83,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
502,1,22458,749974.03,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
503,1,9871,195225.68,2,3,1,231,At-Risk / High Spenders At Risk,0,Cluster 0
506,1,14127,772490.38,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
509,1,10507,342806.78,2,4,2,242,At-Risk / High Spenders At Risk,2,Cluster 2
511,1,22365,1048441.57,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
514,1,10519,459136.93,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
515,1,9289,292382.07,2,3,2,232,At-Risk / High Spenders At Risk,0,Cluster 0
517,1,5820,181180.08,2,1,1,211,Lost Customers,0,Cluster 0
519,1,8457,260022.9,2,3,1,231,At-Risk / High Spenders At Risk,0,Cluster 0
520,1,9047,428296.52,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
523,1,8203,565392.54,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
524,2,5603,251076.39,1,1,1,111,Lost Customers,0,Cluster 0
525,1,10740,463553.62,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
526,1,15082,684613.34,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
528,1,6802,331225.49,2,2,2,222,Lost Customers,0,Cluster 0
530,1,13039,285934.96,2,4,2,242,At-Risk / High Spenders At Risk,2,Cluster 2
534,1,11698,623599.66,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
538,1,8624,427985.7,2,3,3,233,At-Risk / High Spenders At Risk,2,Cluster 2
542,1,7868,279282.11,2,2,1,221,Lost Customers,0,Cluster 0
543,2,8657,425163.83,1,3,3,133,At-Risk / High Spenders At Risk,0,Cluster 0
545,1,7047,377831.26,2,2,2,222,Lost Customers,0,Cluster 0
546,1,7097,462643.64,2,2,3,223,Lost Customers,0,Cluster 0
547,1,6291,245741.91,2,2,1,221,Lost Customers,0,Cluster 0
549,1,5340,468387.21,2,1,3,213,Lost Customers,0,Cluster 0
550,1,12827,662889.9,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
552,1,11273,913287.06,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
554,1,12745,707563.36,2,4,5,245,At-Risk / High Spenders At Risk,2,Cluster 2
556,1,13167,437641.77,2,4,3,243,At-Risk / High Spenders At Risk,2,Cluster 2
557,1,19342,688450.01,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
561,1,11213,369114.03,2,4,2,242,At-Risk / High Spenders At Risk,2,Cluster 2
563,1,15339,870668.35,2,5,5,255,At-Risk / High Spenders At Risk,2,Cluster 2
564,1,12521,561708.08,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
565,1,12480,661684.14,2,4,4,244,At-Risk / High Spenders At Risk,2,Cluster 2
566,1,17630,658074.25,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
569,1,2221,121827.91,2,1,1,211,Lost Customers,0,Cluster 0
570,1,8622,404387.35,2,3,3,233,At-Risk / High Spenders At Risk,0,Cluster 0
571,1,14147,543519.36,2,5,4,254,At-Risk / High Spenders At Risk,2,Cluster 2
573,1,12760,320900.68,2,4,2,242,At-Risk / High Spenders At Risk,2,Cluster 2
575,1,7925,415198.42,2,2,3,223,Lost Customers,0,Cluster 0
576,1,9301,522133.92,2,3,4,234,At-Risk / High Spenders At Risk,2,Cluster 2
577,1,10312,356566.91,2,4,2,242,At-Risk / High Spenders At Risk,2,Cluster 2
